timestamp_s,x_m,y_m,z_m,qx,qy,qz,qw,vx_mps,vy_mps,vz_mps,wx_radps,wy_radps,wz_radps,cmd_v_mps,cmd_w_radps
0.02000000,7.82453632,2.22468662,-0.02860090,0.02004598,0.01238878,0.89640802,-0.44260290,-0.00971843,-0.01268814,0.00075049,-0.00070672,-0.00113076,-0.02826893,0.01600000,-0.02830036
0.04000000,7.82419586,2.22424269,-0.02857463,0.02004257,0.01239428,0.89652956,-0.44235668,-0.01945081,-0.02536559,0.00150089,-0.00067817,-0.00108507,-0.02712676,0.03200000,-0.02715692
0.06000000,7.82366085,2.22354531,-0.02853336,0.02003931,0.01239956,0.89664620,-0.44212016,-0.02919631,-0.03803298,0.00225123,-0.00065139,-0.00104224,-0.02605589,0.04800000,-0.02608486
0.08000000,7.82293034,2.22259474,-0.02847708,0.02003616,0.01240464,0.89675826,-0.44189283,-0.03895415,-0.05069088,0.00300149,-0.00062629,-0.00100206,-0.02505160,0.06400000,-0.02507945
0.10000000,7.82200480,2.22139120,-0.02840580,0.02003313,0.01240953,0.89686602,-0.44167405,-0.04872363,-0.06333981,0.00375168,-0.00060274,-0.00096438,-0.02410959,0.08000000,-0.02413640
0.12000000,7.82088375,2.21993494,-0.02831951,0.02003022,0.01241423,0.89696980,-0.44146332,-0.05850412,-0.07598028,0.00450181,-0.00058065,-0.00092904,-0.02322597,0.09600000,-0.02325179
0.14000000,7.81956673,2.21822572,-0.02821822,0.02002783,0.01241808,0.89705461,-0.44129100,-0.06828890,-0.08861740,0.00525191,-0.00038830,-0.00062129,-0.01553218,0.11200000,-0.01554945
0.16000000,7.81805420,2.21626377,-0.02810194,0.02002595,0.01242111,0.89712137,-0.44115517,-0.07807516,-0.10125338,0.00600201,-0.00037418,-0.00059870,-0.01496744,0.12800001,-0.01498408
0.18000000,7.81634569,2.21404934,-0.02797064,0.02002414,0.01242404,0.89718580,-0.44102421,-0.08786784,-0.11388437,0.00675207,-0.00036086,-0.00057738,-0.01443441,0.14399999,-0.01445046
0.20000000,7.81444168,2.21158218,-0.02782435,0.02002239,0.01242686,0.89724791,-0.44089782,-0.09766663,-0.12651066,0.00750209,-0.00034828,-0.00055725,-0.01393135,0.16000000,-0.01394684
0.22000000,7.81234121,2.20886254,-0.02766306,0.02002070,0.01242958,0.89730787,-0.44077575,-0.10747120,-0.13913247,0.00825207,-0.00033641,-0.00053827,-0.01345662,0.17600000,-0.01347158
0.24000000,7.81004477,2.20589066,-0.02748677,0.02001906,0.01243221,0.89736581,-0.44065776,-0.11728127,-0.15175001,0.00900203,-0.00032522,-0.00052035,-0.01300873,0.19200000,-0.01302320
0.26000000,7.80755186,2.20266652,-0.02729548,0.02001748,0.01243476,0.89742184,-0.44054365,-0.12709656,-0.16436350,0.00975195,-0.00031466,-0.00050345,-0.01258632,0.20800000,-0.01260031
0.28000000,7.80486250,2.19919014,-0.02709324,0.01891852,0.01019551,0.89750153,-0.44048738,-0.13691461,-0.17702505,0.00961874,-0.00030476,-0.00042666,-0.01219039,0.22400001,-0.01220166
0.30000000,7.80197668,2.19546056,-0.02689056,0.01891730,0.01019777,0.89755410,-0.44038031,-0.14673951,-0.18963467,0.01030570,-0.00029543,-0.00041360,-0.01181707,0.23999999,-0.01182799
0.32000000,7.79889441,2.19147873,-0.02667414,0.01891623,0.01019990,0.89760506,-0.44027641,-0.15656902,-0.20224071,0.01099268,-0.00028670,-0.00040137,-0.01146780,0.25600001,-0.01147841
0.34000000,7.79561567,2.18724489,-0.02644399,0.01891508,0.01020203,0.89765453,-0.44017550,-0.16640294,-0.21484332,0.01167962,-0.00027850,-0.00038989,-0.01113983,0.27200001,-0.01115013
0.36000000,7.79214001,2.18275905,-0.02620009,0.01891397,0.01020410,0.89770263,-0.44007739,-0.17624111,-0.22744261,0.01236655,-0.00027081,-0.00037913,-0.01083230,0.28799999,-0.01084232
0.38000000,7.78846741,2.17802119,-0.02594246,0.01891288,0.01020611,0.89774942,-0.43998194,-0.18608339,-0.24003871,0.01305347,-0.00026361,-0.00036906,-0.01054449,0.30399999,-0.01055424
0.40000000,7.78459835,2.17303157,-0.02567108,0.01891182,0.01020807,0.89779502,-0.43988889,-0.19592966,-0.25263169,0.01374039,-0.00025690,-0.00035965,-0.01027574,0.31999999,-0.01028524
0.42000000,7.78053188,2.16778994,-0.02538597,0.01891079,0.01020998,0.89783949,-0.43979818,-0.20577981,-0.26522166,0.01442729,-0.00025064,-0.00035089,-0.01002551,0.33600000,-0.01003477
0.44000000,7.77626848,2.16229677,-0.02508712,0.01890978,0.01021185,0.89788288,-0.43970957,-0.21563374,-0.27780867,0.01511419,-0.00024483,-0.00034277,-0.00979333,0.35200000,-0.00980238
0.46000000,7.77180815,2.15655184,-0.02477453,0.01890880,0.01021367,0.89792526,-0.43962294,-0.22549136,-0.29039279,0.01580108,-0.00023947,-0.00033526,-0.00957885,0.36800000,-0.00958770
0.48000000,7.76715040,2.15055513,-0.02444821,0.01890783,0.01021546,0.89796680,-0.43953809,-0.23535264,-0.30297408,0.01648795,-0.00023455,-0.00032836,-0.00938182,0.38400000,-0.00939050
0.50000000,7.76229525,2.14430714,-0.02410815,0.01890689,0.01021721,0.89800751,-0.43945491,-0.24521752,-0.31555253,0.01717482,-0.00023005,-0.00032207,-0.00920211,0.40000001,-0.00921062
0.52000000,7.75724316,2.13780713,-0.02375435,0.01890626,0.01021836,0.89803439,-0.43939999,-0.25506639,-0.32814339,0.01786173,-0.00007726,-0.00010817,-0.00309044,0.41600001,-0.00309329
0.54000000,7.75199413,2.13105536,-0.02338681,0.01890595,0.01021894,0.89804775,-0.43937266,-0.26489741,-0.34074816,0.01854867,-0.00007550,-0.00010570,-0.00301991,0.43200001,-0.00302270
0.56000000,7.74654865,2.12405133,-0.02300553,0.01890565,0.01021950,0.89806086,-0.43934596,-0.27472946,-0.35335210,0.01923561,-0.00007386,-0.00010340,-0.00295435,0.44800001,-0.00295708
0.58000000,7.74090672,2.11679530,-0.02261052,0.01890535,0.01022005,0.89807367,-0.43931979,-0.28456259,-0.36595523,0.01992255,-0.00007234,-0.00010128,-0.00289369,0.46399999,-0.00289636
0.60000000,7.73506784,2.10928702,-0.02220176,0.01890506,0.01022059,0.89808619,-0.43929413,-0.29439673,-0.37855753,0.02060949,-0.00007095,-0.00009933,-0.00283790,0.47999999,-0.00284052
0.62000000,7.72903252,2.10152698,-0.02177927,0.01890477,0.01022112,0.89809853,-0.43926895,-0.30423194,-0.39115903,0.02129642,-0.00006967,-0.00009754,-0.00278697,0.49599999,-0.00278955
0.64000000,7.72280025,2.09351468,-0.02134303,0.01890449,0.01022164,0.89811063,-0.43924418,-0.31406814,-0.40375975,0.02198336,-0.00006852,-0.00009593,-0.00274093,0.51200002,-0.00274347
0.66000000,7.71637154,2.08525038,-0.02089306,0.01890421,0.01022216,0.89812255,-0.43921980,-0.32390541,-0.41635963,0.02267028,-0.00006750,-0.00009450,-0.00269986,0.52800000,-0.00270235
0.68000000,7.70974588,2.07673430,-0.02042935,0.01890394,0.01022266,0.89813429,-0.43919575,-0.33374372,-0.42895871,0.02335721,-0.00006660,-0.00009324,-0.00266386,0.54400003,-0.00266633
0.70000000,7.70292330,2.06796622,-0.01995190,0.01890367,0.01022316,0.89814591,-0.43917197,-0.34358311,-0.44155696,0.02404414,-0.00006583,-0.00009216,-0.00263312,0.56000000,-0.00263555
0.72000000,7.69590425,2.05894589,-0.01946072,0.01890364,0.01022321,0.89814705,-0.43916976,-0.35340202,-0.45417109,0.02473111,0.00005309,0.00007433,0.00212378,0.57599998,0.00212575
0.74000000,7.68868923,2.04967308,-0.01895579,0.01890386,0.01022281,0.89813775,-0.43918869,-0.36319903,-0.46680230,0.02541813,0.00005247,0.00007345,0.00209864,0.59200001,0.00210058
0.76000000,7.68127823,2.04014754,-0.01843712,0.01890407,0.01022242,0.89812857,-0.43920743,-0.37299520,-0.47943416,0.02610515,0.00005194,0.00007271,0.00207752,0.60799998,0.00207944
0.78000000,7.67367125,2.03036928,-0.01790471,0.01890428,0.01022203,0.89811951,-0.43922600,-0.38279048,-0.49206668,0.02679217,0.00005152,0.00007212,0.00206059,0.62400001,0.00206250
0.80000000,7.66586876,2.02033854,-0.01735857,0.01890449,0.01022164,0.89811051,-0.43924445,-0.39258486,-0.50469995,0.02747919,0.00005120,0.00007168,0.00204806,0.63999999,0.00204995
0.82000000,7.65790701,2.01010227,-0.01680125,0.01890470,0.01022125,0.89810151,-0.43926284,-0.39869782,-0.51260197,0.02790859,0.00005101,0.00007141,0.00204020,0.64999968,0.00204209
0.84000000,7.64993334,1.99985003,-0.01624308,0.01890491,0.01022086,0.89809251,-0.43928117,-0.39867687,-0.51261824,0.02790863,0.00005090,0.00007126,0.00203607,0.64999968,0.00203795
0.86000000,7.64196014,1.98959744,-0.01568491,0.01890512,0.01022048,0.89808357,-0.43929946,-0.39865595,-0.51263452,0.02790868,0.00005088,0.00007123,0.00203515,0.64999968,0.00203704
0.88000000,7.63398743,1.97934437,-0.01512673,0.01890550,0.01021976,0.89806688,-0.43933356,-0.39861581,-0.51266325,0.02790868,0.00013849,0.00019388,0.00553941,0.64999771,0.00554453
0.90000000,7.62601614,1.96909046,-0.01456856,0.01890607,0.01021872,0.89804268,-0.43938303,-0.39855927,-0.51270723,0.02790881,0.00013719,0.00019206,0.00548738,0.64999777,0.00549246
0.92000000,7.61804581,1.95883560,-0.01401038,0.01890662,0.01021768,0.89801872,-0.43943208,-0.39850324,-0.51275086,0.02790893,0.00013605,0.00019046,0.00544183,0.64999783,0.00544686
0.94000000,7.61007643,1.94857991,-0.01345220,0.01890718,0.01021666,0.89799488,-0.43948078,-0.39844757,-0.51279414,0.02790906,0.00013508,0.00018911,0.00540300,0.64999783,0.00540799
0.96000000,7.60210848,1.93832338,-0.01289402,0.01890773,0.01021564,0.89797115,-0.43952918,-0.39839229,-0.51283711,0.02790918,0.00013428,0.00018799,0.00537119,0.64999789,0.00537615
0.98000000,7.59414291,1.92806602,-0.01230658,0.02115022,0.00911438,0.89789742,-0.43960187,-0.39819244,-0.51288033,0.02989656,0.00016038,0.00018711,0.00534603,0.64999789,0.00535171
1.00000000,7.58617973,1.91780782,-0.01170865,0.02115071,0.00911325,0.89787400,-0.43964976,-0.39813769,-0.51292288,0.02989640,0.00015945,0.00018603,0.00531514,0.64999789,0.00532079
1.02000000,7.57821798,1.90754867,-0.01111072,0.02115119,0.00911213,0.89785063,-0.43969741,-0.39808318,-0.51296520,0.02989625,0.00015876,0.00018522,0.00529207,0.64999795,0.00529769
1.04000000,7.57025719,1.89728856,-0.01051281,0.02115188,0.00911052,0.89781719,-0.43976575,-0.39800370,-0.51302415,0.02989593,0.00022716,0.00026502,0.00757200,0.64999574,0.00758004
