timestamp_s,x_m,y_m,z_m,qx,qy,qz,qw,vx_mps,vy_mps,vz_mps,wx_radps,wy_radps,wz_radps,cmd_v_mps,cmd_w_radps
0.02000000,-10.22047520,10.79600906,0.16208647,0.04027895,-0.00096590,-0.34874013,0.93635303,0.01210814,-0.01045065,-0.00042056,-0.00248749,-0.00621876,0.08291639,0.01600000,0.08318647
0.04000000,-10.22005081,10.79564381,0.16207181,0.04027816,-0.00099829,-0.34798691,0.93663323,0.02424986,-0.02086248,-0.00083720,-0.00238634,-0.00596588,0.07954459,0.03200000,0.07980368
0.06000000,-10.21938324,10.79507065,0.16204888,0.04027737,-0.00102939,-0.34726372,0.93690157,0.03642306,-0.03123776,-0.00125015,-0.00229100,-0.00572754,0.07636674,0.04800000,0.07661549
0.08000000,-10.21847248,10.79429150,0.16201772,0.04027660,-0.00105926,-0.34656882,0.93715888,0.04862578,-0.04157859,-0.00165964,-0.00220112,-0.00550282,0.07337053,0.06400000,0.07360952
0.10000000,-10.21731663,10.79330444,0.16197842,0.04027583,-0.00108797,-0.34590062,0.93740571,0.06085625,-0.05188689,-0.00206585,-0.00211634,-0.00529088,0.07054462,0.08000000,0.07077440
0.12000000,-10.21591568,10.79211330,0.16193107,0.04027508,-0.00111559,-0.34525767,0.93764269,0.07311281,-0.06216447,-0.00246898,-0.00203636,-0.00509092,0.06787858,0.09600000,0.06809968
0.14000000,-10.21426868,10.79071617,0.16187568,0.04027433,-0.00114219,-0.34463850,0.93787044,0.08539395,-0.07241299,-0.00286919,-0.00196089,-0.00490224,0.06536283,0.11200000,0.06557573
0.16000000,-10.21237659,10.78911400,0.16181234,0.04027360,-0.00116781,-0.34404179,0.93808949,0.09769827,-0.08263399,-0.00326664,-0.00188966,-0.00472417,0.06298853,0.12800001,0.06319370
0.18000000,-10.21023750,10.78730869,0.16174106,0.04027287,-0.00119251,-0.34346631,0.93830037,0.11002448,-0.09282891,-0.00366147,-0.00182243,-0.00455609,0.06074758,0.14399999,0.06094545
0.20000000,-10.20785236,10.78529930,0.16166195,0.04027216,-0.00121635,-0.34291086,0.93850350,0.12237141,-0.10299905,-0.00405383,-0.00175898,-0.00439746,0.05863250,0.16000000,0.05882348
0.22000000,-10.20521927,10.78308773,0.16157502,0.04027146,-0.00123937,-0.34237432,0.93869936,0.13473795,-0.11314563,-0.00444383,-0.00169909,-0.00424776,0.05663641,0.17600000,0.05682089
0.24000000,-10.20233822,10.78067207,0.16148032,0.04027077,-0.00126162,-0.34185562,0.93888837,0.14712313,-0.12326979,-0.00483159,-0.00164259,-0.00410650,0.05475301,0.19200000,0.05493135
0.26000000,-10.19921017,10.77805519,0.16137001,0.03857360,0.00340160,-0.34128666,0.93916130,0.15954094,-0.13328308,-0.00680547,-0.00105979,-0.00397425,0.05298967,0.20800000,0.05314907
0.28000000,-10.19583321,10.77523899,0.16122629,0.03857535,0.00338163,-0.34080032,0.93933791,0.17196198,-0.14335829,-0.00731270,-0.00102619,-0.00384826,0.05130978,0.22400001,0.05146412
0.30000000,-10.19220734,10.77222061,0.16107245,0.03857705,0.00336227,-0.34032902,0.93950874,0.18439913,-0.15341395,-0.00781813,-0.00099443,-0.00372915,0.04972168,0.23999999,0.04987124
0.32000000,-10.18833256,10.76900196,0.16090854,0.03857868,0.00334351,-0.33987197,0.93967420,0.19685164,-0.16345084,-0.00832185,-0.00096451,-0.00361693,0.04822540,0.25600001,0.04837046
0.34000000,-10.18420792,10.76558208,0.16073456,0.03858025,0.00332529,-0.33942828,0.93983454,0.20931891,-0.17346969,-0.00882393,-0.00093634,-0.00351129,0.04681693,0.27200001,0.04695776
0.36000000,-10.17983437,10.76196289,0.16055058,0.03858177,0.00330760,-0.33899716,0.93999010,0.22180031,-0.18347119,-0.00932442,-0.00090985,-0.00341197,0.04549267,0.28799999,0.04562951
0.38000000,-10.17521095,10.75814342,0.16035660,0.03858325,0.00329039,-0.33857787,0.94014126,0.23429535,-0.19345590,-0.00982337,-0.00088499,-0.00331872,0.04424940,0.30399999,0.04438251
0.40000000,-10.17033768,10.75412560,0.16015267,0.03858467,0.00327364,-0.33816966,0.94028813,0.24680357,-0.20342439,-0.01032085,-0.00086169,-0.00323134,0.04308431,0.31999999,0.04321391
0.42000000,-10.16521358,10.74990749,0.15993881,0.03858605,0.00325731,-0.33777183,0.94043112,0.25932452,-0.21337710,-0.01081689,-0.00083990,-0.00314964,0.04199497,0.33600000,0.04212129
0.44000000,-10.15983963,10.74549103,0.15971506,0.03858740,0.00324139,-0.33738366,0.94057047,0.27185789,-0.22331445,-0.01131153,-0.00081959,-0.00307347,0.04097934,0.35200000,0.04110261
0.46000000,-10.15421391,10.74087524,0.15948142,0.03858870,0.00322583,-0.33700451,0.94070637,0.28440332,-0.23323677,-0.01180480,-0.00080072,-0.00300270,0.04003580,0.36800000,0.04015623
0.48000000,-10.14833832,10.73606205,0.15923788,0.03858960,0.00321500,-0.33674046,0.94080091,0.29690537,-0.24321152,-0.01230287,-0.00032969,-0.00123635,0.01648463,0.38400000,0.01653422
0.50000000,-10.14221382,10.73104668,0.15898427,0.03859012,0.00320877,-0.33658856,0.94085526,0.30935827,-0.25324583,-0.01280639,-0.00032022,-0.00120085,0.01601126,0.40000001,0.01605942
0.52000000,-10.13583946,10.72583103,0.15872060,0.03859062,0.00320272,-0.33644095,0.94090807,0.32181528,-0.26327509,-0.01330945,-0.00031123,-0.00116713,0.01556163,0.41600001,0.01560844
0.54000000,-10.12921619,10.72041512,0.15844686,0.03859111,0.00319683,-0.33629742,0.94095939,0.33427626,-0.27329949,-0.01381206,-0.00030270,-0.00113512,0.01513484,0.43200001,0.01518036
0.56000000,-10.12234402,10.71479893,0.15816309,0.03859159,0.00319110,-0.33615771,0.94100928,0.34674108,-0.28331915,-0.01431424,-0.00029460,-0.00110476,0.01473010,0.44800001,0.01477440
0.58000000,-10.11522198,10.70898247,0.15786928,0.03859204,0.00318552,-0.33602169,0.94105786,0.35920957,-0.29333422,-0.01481601,-0.00028693,-0.00107601,0.01434670,0.46399999,0.01438985
0.60000000,-10.10785103,10.70296574,0.15756544,0.03859250,0.00318009,-0.33588910,0.94110519,0.37168166,-0.30334488,-0.01531737,-0.00027968,-0.00104881,0.01398403,0.47999999,0.01402609
0.62000000,-10.10023022,10.69674873,0.15725158,0.03859293,0.00317478,-0.33575979,0.94115138,0.38415724,-0.31335124,-0.01581834,-0.00027283,-0.00102312,0.01364158,0.49599999,0.01368261
0.64000000,-10.09235954,10.69033146,0.15692770,0.03859336,0.00316961,-0.33563358,0.94119638,0.39663622,-0.32335335,-0.01631892,-0.00026638,-0.00099893,0.01331894,0.51200002,0.01335901
0.66000000,-10.08423996,10.68371487,0.15659381,0.03859377,0.00316455,-0.33551022,0.94124037,0.40911856,-0.33335134,-0.01681913,-0.00026032,-0.00097619,0.01301584,0.52800000,0.01305499
0.68000000,-10.07586956,10.67689800,0.15624994,0.03859418,0.00315960,-0.33538961,0.94128335,0.42160416,-0.34334528,-0.01731897,-0.00025464,-0.00095491,0.01273210,0.54400003,0.01277040
0.70000000,-10.06725216,10.66987896,0.15589586,0.03859401,0.00316164,-0.33543926,0.94126564,0.43396696,-0.35348928,-0.01783252,0.00010563,0.00039610,-0.00528133,0.56000000,-0.00529722
0.72000000,-10.05838776,10.66265678,0.15553150,0.03859384,0.00316370,-0.33548942,0.94124776,0.44632724,-0.36363634,-0.01834635,0.00010674,0.00040027,-0.00533687,0.57599998,-0.00535292
0.74000000,-10.04927540,10.65523148,0.15515687,0.03859367,0.00316578,-0.33554018,0.94122964,0.45868486,-0.37378666,-0.01886047,0.00010816,0.00040560,-0.00540799,0.59200001,-0.00542426
0.76000000,-10.03991699,10.64760399,0.15477194,0.03859350,0.00316789,-0.33559176,0.94121128,0.47103965,-0.38394043,-0.01937491,0.00010992,0.00041220,-0.00549599,0.60799998,-0.00551252
0.78000000,-10.03031063,10.63977242,0.15437672,0.03859332,0.00317005,-0.33564427,0.94119257,0.48339143,-0.39409786,-0.01988969,0.00011205,0.00042018,-0.00560241,0.62400001,-0.00561926
0.80000000,-10.02045727,10.63173866,0.15397120,0.03859314,0.00317225,-0.33569795,0.94117343,0.49573994,-0.40425926,-0.02040483,0.00011458,0.00042969,-0.00572915,0.63999999,-0.00574639
0.82000000,-10.01040363,10.62353802,0.15355729,0.03859295,0.00317450,-0.33575296,0.94115376,0.50343585,-0.41063282,-0.02072893,0.00011757,0.00044089,-0.00587851,0.64999741,-0.00589620
0.84000000,-10.00033569,10.61532497,0.15314262,0.03859276,0.00317682,-0.33580953,0.94113362,0.50338632,-0.41069302,-0.02073443,0.00012093,0.00045350,-0.00604668,0.64999729,-0.00606487
0.86000000,-9.99027157,10.60711193,0.15258203,0.03608210,0.01022939,-0.33590978,0.94114721,0.50315708,-0.41048589,-0.02827083,0.00009534,0.00143015,-0.01906852,0.64997303,-0.01912232
0.88000000,-9.98021126,10.59889984,0.15201639,0.03607982,0.01023616,-0.33608949,0.94108307,0.50299996,-0.41067746,-0.02828569,0.00009527,0.00142908,-0.01905441,0.64997309,-0.01910816
0.90000000,-9.97015285,10.59068298,0.15145046,0.03607786,0.01024305,-0.33626923,0.94101888,0.50284266,-0.41086894,-0.02830083,0.00009533,0.00143000,-0.01906679,0.64997303,-0.01912057
0.92000000,-9.96009827,10.58246326,0.15088421,0.03607590,0.01024995,-0.33644924,0.94095451,0.50268495,-0.41106063,-0.02831600,0.00009554,0.00143304,-0.01910726,0.64997292,-0.01916117
0.94000000,-9.95004749,10.57423878,0.15031765,0.03607393,0.01025687,-0.33662987,0.94088989,0.50252658,-0.41125286,-0.02833121,0.00009589,0.00143832,-0.01917773,0.64997274,-0.01923183
0.96000000,-9.93999958,10.56601143,0.14975080,0.03607195,0.01026383,-0.33681133,0.94082493,0.50236732,-0.41144592,-0.02834648,0.00009640,0.00144602,-0.01928039,0.64997244,-0.01933478
0.98000000,-9.92995453,10.55777931,0.14918365,0.03606996,0.01027084,-0.33699402,0.94075954,0.50220680,-0.41164014,-0.02836185,0.00009709,0.00145634,-0.01941788,0.64997208,-0.01947266
1.00000000,-9.91991329,10.54954338,0.14861615,0.03606752,0.01027941,-0.33721757,0.94067943,0.50198758,-0.41185910,-0.02837937,0.00013967,0.00209503,-0.02793377,0.64994216,-0.02801258
1.02000000,-9.90987682,10.54130173,0.14804824,0.03606465,0.01028947,-0.33747992,0.94058532,0.50175762,-0.41213852,-0.02840148,0.00013905,0.00208575,-0.02781009,0.64994270,-0.02788854
1.04000000,-9.89984512,10.53305531,0.14747988,0.03606179,0.01029949,-0.33774135,0.94049150,0.50152814,-0.41241676,-0.02842349,0.00013861,0.00207915,-0.02772209,0.64994305,-0.02780030
1.06000000,-9.88981819,10.52480221,0.14691107,0.03605893,0.01030949,-0.33800218,0.94039780,0.50129896,-0.41269416,-0.02844544,0.00013836,0.00207536,-0.02767156,0.64994323,-0.02774962
1.08000000,-9.87979507,10.51654434,0.14634185,0.03605607,0.01031948,-0.33826280,0.94030410,0.50106961,-0.41297111,-0.02846736,0.00013830,0.00207454,-0.02766062,0.64994329,-0.02773865
1.10000000,-9.86977768,10.50828075,0.14577216,0.03605321,0.01032948,-0.33852357,0.94021022,0.50083983,-0.41324806,-0.02848928,0.00013846,0.00207688,-0.02769179,0.64994317,-0.02776991
1.12000000,-9.85976410,10.50001144,0.14520206,0.03605033,0.01033951,-0.33878493,0.94011605,0.50060922,-0.41352540,-0.02851123,0.00013884,0.00208259,-0.02776804,0.64994287,-0.02784637
1.14000000,-9.84975529,10.49173737,0.14463149,0.03604745,0.01034957,-0.33904734,0.94002146,0.50037736,-0.41380361,-0.02853326,0.00013946,0.00209196,-0.02789290,0.64994234,-0.02797159
1.16000000,-9.83975220,10.48345661,0.14406049,0.03604432,0.01036045,-0.33933103,0.93991911,0.50011182,-0.41409218,-0.02855623,0.00016136,0.00242043,-0.03227250,0.64992279,-0.03236354
1.18000000,-9.82975388,10.47517014,0.14348899,0.03604098,0.01037206,-0.33963382,0.93980974,0.49984485,-0.41441381,-0.02858169,0.00016059,0.00240890,-0.03211883,0.64992356,-0.03220944
